time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;bars_since_discharge;state
2026.06.12 02:04;1665.19;30;-0.304061;0.424565;0.002784;0.008491;0.254739;false;0;HOMEOSTASIS
2026.06.12 02:05;1665.61;21;-0.265956;0.433900;0.005776;0.017067;0.506163;false;0;HOMEOSTASIS
2026.06.12 02:06;1666.49;19;-0.367660;0.409107;0.008742;0.025045;0.733912;false;0;HOMEOSTASIS
2026.06.12 02:07;1667.34;34;-0.412986;0.398196;0.011755;0.032708;0.947142;false;0;HOMEOSTASIS
2026.06.12 02:08;1666.94;29;-0.317060;0.421392;0.015024;0.040743;1.166828;false;0;HOMEOSTASIS
2026.06.12 02:09;1670.59;58;-0.469658;0.384697;0.018156;0.047948;1.356807;false;0;HOMEOSTASIS
2026.06.12 02:10;1673.52;114;-0.497813;0.378055;0.021325;0.054934;1.536152;false;0;HOMEOSTASIS
2026.06.12 02:11;1673.06;44;-0.478127;0.382695;0.024595;0.061929;1.712003;false;0;HOMEOSTASIS
2026.06.12 02:12;1673.07;23;-0.487872;0.380395;0.027916;0.068794;1.880320;false;0;HOMEOSTASIS
2026.06.12 02:13;1673.03;50;-0.485295;0.381002;0.031298;0.075588;2.043111;false;0;HOMEOSTASIS
2026.06.12 02:14;1672.75;24;-0.475019;0.383429;0.034748;0.082350;2.201659;false;0;HOMEOSTASIS
2026.06.12 02:15;1672.22;30;-0.478185;0.382681;0.038238;0.089015;2.354209;false;0;HOMEOSTASIS
2026.06.12 02:16;1671.32;32;-0.472211;0.384093;0.041778;0.095629;2.502268;false;0;HOMEOSTASIS
2026.06.12 02:17;1670.29;21;-0.452654;0.388730;0.045382;0.102256;2.647927;false;0;HOMEOSTASIS
2026.06.12 02:18;1669.98;35;-0.429608;0.394220;0.049054;0.108913;2.791781;false;0;HOMEOSTASIS
2026.06.12 02:19;1671.12;24;-0.434067;0.393156;0.052746;0.115469;2.929962;false;0;HOMEOSTASIS
2026.06.12 02:20;1671.44;31;-0.443863;0.390821;0.056446;0.121900;3.061906;false;0;ACCUMULATION
2026.06.12 02:21;1671.28;21;-0.425615;0.395174;0.060191;0.128341;3.191844;false;0;ACCUMULATION
2026.06.12 02:22;1671.48;38;-0.394641;0.402601;0.063998;0.134853;3.321689;false;0;ACCUMULATION
2026.06.12 02:23;1671.63;25;-0.424288;0.395491;0.067772;0.141144;3.442725;false;0;ACCUMULATION
2026.06.12 02:24;1671.58;30;-0.441734;0.391328;0.071524;0.147277;3.557026;false;0;ACCUMULATION
2026.06.12 02:25;1670.59;22;-0.403165;0.400552;0.075337;0.153521;3.672862;false;0;ACCUMULATION
2026.06.12 02:26;1670.64;30;-0.365203;0.409701;0.079211;0.159873;3.790132;false;0;ACCUMULATION
2026.06.12 02:27;1670.17;16;-0.274236;0.431867;0.083230;0.166591;3.916598;false;0;ACCUMULATION
2026.06.12 02:28;1670.33;26;-0.326033;0.419206;0.087171;0.172977;4.031041;false;0;ACCUMULATION
