time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 16:56;4080.584;211;-0.463852;0.386072;0.003222;0.009507;0.000000;false;HOMEOSTASIS
2026.06.11 16:57;4081.285;269;-0.323489;0.419826;0.006727;0.019703;0.000000;false;HOMEOSTASIS
2026.06.11 16:58;4081.171;217;-0.341625;0.415415;0.010196;0.029637;0.000000;false;HOMEOSTASIS
2026.06.11 16:59;4080.372;173;-0.268552;0.433263;0.013813;0.039861;0.000000;false;HOMEOSTASIS
2026.06.11 17:00;4077.169;424;-0.489861;0.379926;0.016980;0.048619;0.000000;false;HOMEOSTASIS
2026.06.11 17:01;4080.100;478;-0.342821;0.415124;0.020436;0.058112;0.000000;false;HOMEOSTASIS
2026.06.11 17:02;4074.739;497;-0.521785;0.372435;0.023527;0.066412;0.000000;false;HOMEOSTASIS
2026.06.11 17:03;4073.758;456;-0.513222;0.374439;0.026627;0.074636;0.000000;false;HOMEOSTASIS
2026.06.11 17:04;4074.878;309;-0.476486;0.383082;0.029788;0.082950;0.000000;false;HOMEOSTASIS
2026.06.11 17:05;4075.255;532;-0.414848;0.397750;0.033059;0.091500;0.000000;false;HOMEOSTASIS
2026.06.11 17:06;4075.060;410;-0.464351;0.385954;0.036219;0.099632;0.000000;false;HOMEOSTASIS
2026.06.11 17:07;4076.611;436;-0.425692;0.395156;0.039442;0.107868;0.000000;false;HOMEOSTASIS
2026.06.11 17:08;4075.354;324;-0.433692;0.393245;0.042633;0.115934;0.000000;false;HOMEOSTASIS
2026.06.11 17:09;4076.480;352;-0.328923;0.418503;0.046019;0.124500;0.000000;false;HOMEOSTASIS
2026.06.11 17:10;4076.895;306;-0.278040;0.430934;0.049491;0.133245;0.000000;false;HOMEOSTASIS
2026.06.11 17:11;4077.314;271;-0.235012;0.441516;0.053033;0.142118;0.000000;false;HOMEOSTASIS
2026.06.11 17:12;4075.568;227;-0.267024;0.433638;0.056490;0.150665;0.000000;false;HOMEOSTASIS
2026.06.11 17:13;4075.087;412;-0.261953;0.434884;0.059937;0.159114;0.000000;false;HOMEOSTASIS
2026.06.11 17:14;4076.164;227;-0.209460;0.447826;0.063471;0.167755;0.000000;false;HOMEOSTASIS
2026.06.11 17:15;4074.733;394;-0.298886;0.425830;0.066799;0.175725;0.000000;false;HOMEOSTASIS
2026.06.11 17:16;4075.742;388;-0.263401;0.434528;0.070176;0.183789;0.000000;false;HOMEOSTASIS
2026.06.11 17:17;4075.728;323;-0.288142;0.428459;0.073479;0.191583;0.000000;false;HOMEOSTASIS
2026.06.11 17:18;4076.193;315;-0.254334;0.436757;0.076826;0.199464;0.000000;false;HOMEOSTASIS
2026.06.11 17:19;4078.230;275;0.126606;0.531609;0.081840;0.209563;1.000000;false;ACCUMULATION
2026.06.11 17:20;4079.116;288;0.185764;0.546308;0.087815;0.219873;2.000000;false;ACCUMULATION
2026.06.11 17:21;4079.183;239;0.928244;0.716719;0.096016;0.234224;3.000000;false;ACCUMULATION
2026.06.11 17:22;4076.943;287;0.047928;0.511980;0.102215;0.243318;2.820000;false;HOMEOSTASIS
