time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 16:39;62658.97;85;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:40;62627.88;58;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:41;62590.66;70;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:42;62618.13;84;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:43;62598.56;81;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:44;62586.68;43;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:45;62539.37;86;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:46;62566.33;83;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:47;62583.95;53;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
2026.06.11 16:48;62601.19;61;-0.179296;0.000000;0.000000;0.000000;0.000000;false;HOMEOSTASIS
