time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 17:36;4145.923;1950;-0.456306;0.387862;0.002408;0.007664;0.000000;false;HOMEOSTASIS
2026.06.11 17:37;4142.524;2019;-0.444425;0.390687;0.004840;0.015292;0.000000;false;HOMEOSTASIS
2026.06.11 17:38;4147.914;1965;-0.440819;0.391546;0.007284;0.022846;0.000000;false;HOMEOSTASIS
2026.06.11 17:39;4150.319;1672;-0.431838;0.393688;0.009746;0.030351;0.000000;false;HOMEOSTASIS
2026.06.11 17:40;4154.469;1667;-0.427890;0.394630;0.012218;0.037784;0.000000;false;HOMEOSTASIS
2026.06.11 17:41;4163.052;1921;-0.427946;0.394617;0.014693;0.045129;0.000000;false;HOMEOSTASIS
2026.06.11 17:42;4165.319;1696;-0.425084;0.395301;0.017175;0.052398;0.000000;false;HOMEOSTASIS
2026.06.11 17:43;4163.022;1312;-0.412274;0.398367;0.019676;0.059641;0.000000;false;HOMEOSTASIS
2026.06.11 17:44;4166.462;1555;-0.405549;0.399980;0.022187;0.066829;0.000000;false;HOMEOSTASIS
2026.06.11 17:45;4158.465;1362;-0.382867;0.405436;0.024732;0.074039;0.000000;false;HOMEOSTASIS
2026.06.11 17:46;4159.191;1325;-0.365807;0.409555;0.027300;0.081243;0.000000;false;HOMEOSTASIS
2026.06.11 17:47;4161.417;1214;-0.362553;0.410342;0.029871;0.088376;0.000000;false;HOMEOSTASIS
2026.06.11 17:48;4158.279;1101;-0.337246;0.416479;0.032477;0.095545;0.000000;false;HOMEOSTASIS
2026.06.11 17:49;4154.519;1112;-0.300135;0.425524;0.035135;0.102807;0.000000;false;HOMEOSTASIS
2026.06.11 17:50;4148.711;1075;-0.131184;0.467251;0.038048;0.110806;0.000000;false;HOMEOSTASIS
2026.06.11 17:51;4156.389;978;-0.225662;0.443823;0.040811;0.118247;0.000000;false;HOMEOSTASIS
2026.06.11 17:52;4156.531;1181;-0.095238;0.476208;0.043770;0.126238;0.000000;false;HOMEOSTASIS
2026.06.11 17:53;4152.584;1005;0.027241;0.506810;0.046912;0.134737;0.000000;false;HOMEOSTASIS
2026.06.11 17:54;4153.654;789;0.904685;0.711911;0.051552;0.147188;0.427147;false;HOMEOSTASIS
2026.06.11 17:55;4151.546;729;1.253653;0.777932;0.056844;0.160794;0.893906;false;HOMEOSTASIS
2026.06.11 17:56;4147.864;898;2.512743;0.925030;0.063332;0.177143;1.448924;false;HOMEOSTASIS
2026.06.11 17:57;4155.325;847;-0.076952;0.480771;0.067009;0.184517;1.398212;false;HOMEOSTASIS
2026.06.11 17:58;4153.195;738;0.487847;0.619599;0.071715;0.194546;1.769971;false;HOMEOSTASIS
2026.06.11 17:59;4152.015;645;2.393064;0.916297;0.078522;0.210317;2.319749;false;HOMEOSTASIS
2026.06.11 18:00;4150.668;879;0.718162;0.672202;0.083991;0.221076;2.723070;false;HOMEOSTASIS
2026.06.11 18:01;4149.564;848;-0.202538;0.449538;0.087975;0.227306;2.627763;false;HOMEOSTASIS
2026.06.11 18:02;4145.663;1101;-0.296374;0.426444;0.091710;0.233005;2.535791;false;HOMEOSTASIS
2026.06.11 18:03;4137.486;1412;-0.343610;0.414933;0.095273;0.238408;2.447039;false;HOMEOSTASIS
2026.06.11 18:04;4138.926;1125;-0.415104;0.397689;0.098632;0.243406;2.361392;false;HOMEOSTASIS
2026.06.11 18:05;4135.101;1108;-0.372010;0.408055;0.101961;0.248548;2.278743;false;HOMEOSTASIS
2026.06.11 18:06;4133.286;758;-0.404896;0.400137;0.105152;0.253472;2.198987;false;HOMEOSTASIS
2026.06.11 18:07;4139.996;965;-0.357793;0.411494;0.108327;0.258562;2.122023;false;HOMEOSTASIS
2026.06.11 18:08;4136.723;1198;-0.358088;0.411423;0.111420;0.263588;2.047752;false;HOMEOSTASIS
2026.06.11 18:09;4135.716;633;-0.324958;0.419468;0.114482;0.268714;1.976081;false;HOMEOSTASIS
2026.06.11 18:10;4138.267;551;-0.085138;0.478728;0.117837;0.274949;1.906918;false;HOMEOSTASIS
2026.06.11 18:11;4141.433;575;-0.267489;0.433524;0.120839;0.280216;1.840176;false;HOMEOSTASIS
2026.06.11 18:12;4143.196;692;-0.234766;0.441577;0.123821;0.285579;1.775770;false;HOMEOSTASIS
2026.06.11 18:13;4143.734;673;-0.036230;0.490943;0.127042;0.291853;1.713618;false;HOMEOSTASIS
2026.06.11 18:14;4146.859;537;0.135199;0.533748;0.130670;0.298898;2.033867;false;HOMEOSTASIS
2026.06.11 18:15;4151.209;735;8.364726;0.999767;0.137479;0.315067;2.633727;false;HOMEOSTASIS
2026.06.11 18:16;4153.633;570;0.049844;0.512458;0.141176;0.321412;2.541547;false;HOMEOSTASIS
2026.06.11 18:17;4151.765;612;0.344717;0.585336;0.145471;0.329121;2.892748;false;HOMEOSTASIS
2026.06.11 18:18;4156.461;554;0.399718;0.598620;0.149993;0.337001;3.251920;false;ACCUMULATION
2026.06.11 18:19;4161.080;660;-0.158708;0.460406;0.153542;0.342054;3.138103;false;ACCUMULATION
2026.06.11 18:20;4158.066;717;-0.094526;0.476386;0.157076;0.347363;3.028269;false;ACCUMULATION
2026.06.11 18:21;4161.086;626;-0.235665;0.441355;0.160285;0.351916;2.922280;false;HOMEOSTASIS
2026.06.11 18:22;4154.949;1788;-0.166315;0.458517;0.163497;0.356753;2.820000;false;HOMEOSTASIS
2026.06.11 18:23;4156.368;1496;-0.324476;0.419585;0.166367;0.360763;2.721300;false;HOMEOSTASIS
2026.06.11 18:24;4155.610;762;-0.307433;0.423742;0.169167;0.364807;2.626054;false;HOMEOSTASIS
2026.06.11 18:25;4155.324;588;-0.339851;0.415846;0.171826;0.368646;2.534143;false;HOMEOSTASIS
2026.06.11 18:26;4154.169;579;-0.339849;0.415846;0.174397;0.372440;2.445448;false;HOMEOSTASIS
2026.06.11 18:27;4153.623;512;-0.260820;0.435162;0.177005;0.376569;2.359857;false;HOMEOSTASIS
2026.06.11 18:28;4152.244;606;-0.278970;0.430706;0.179505;0.380561;2.277262;false;HOMEOSTASIS
