time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 17:36;63078.61;255;-0.112065;0.472013;0.002930;0.009327;0.000000;false;HOMEOSTASIS
2026.06.11 17:37;63129.41;266;-0.112283;0.471959;0.005869;0.018541;0.000000;false;HOMEOSTASIS
2026.06.11 17:38;63155.90;213;-0.112747;0.471843;0.008814;0.027642;0.000000;false;HOMEOSTASIS
2026.06.11 17:39;63147.00;164;-0.112618;0.471875;0.011765;0.036635;0.000000;false;HOMEOSTASIS
2026.06.11 17:40;63254.33;253;-0.112821;0.471825;0.014721;0.045518;0.000000;false;HOMEOSTASIS
2026.06.11 17:41;63287.64;217;-0.112914;0.471801;0.017680;0.054295;0.000000;false;HOMEOSTASIS
2026.06.11 17:42;63262.38;172;-0.112604;0.471879;0.020643;0.062968;0.000000;false;HOMEOSTASIS
2026.06.11 17:43;63240.27;162;-0.111726;0.472097;0.023607;0.071541;0.000000;false;HOMEOSTASIS
2026.06.11 17:44;63262.21;116;-0.110844;0.472317;0.026573;0.080015;0.000000;false;HOMEOSTASIS
2026.06.11 17:45;63394.99;267;-0.111191;0.472231;0.029537;0.088386;0.000000;false;HOMEOSTASIS
2026.06.11 17:46;63267.24;271;-0.110720;0.472348;0.032500;0.096659;0.000000;false;HOMEOSTASIS
2026.06.11 17:47;63389.24;175;-0.111009;0.472276;0.035459;0.104832;0.000000;false;HOMEOSTASIS
2026.06.11 17:48;63394.47;194;-0.109897;0.472553;0.038416;0.112911;0.000000;false;HOMEOSTASIS
2026.06.11 17:49;63519.78;362;-0.108840;0.472817;0.041370;0.120899;0.000000;false;HOMEOSTASIS
2026.06.11 17:50;63398.67;228;-0.106696;0.473351;0.044322;0.128802;0.000000;false;HOMEOSTASIS
2026.06.11 17:51;63459.48;199;-0.104729;0.473842;0.047270;0.136619;0.000000;false;HOMEOSTASIS
2026.06.11 17:52;63426.80;154;-0.023841;0.494040;0.050336;0.144742;0.000000;false;HOMEOSTASIS
2026.06.11 17:53;63394.13;137;-0.099325;0.475189;0.053277;0.152395;0.000000;false;HOMEOSTASIS
2026.06.11 17:54;63389.18;112;-0.100840;0.474811;0.056207;0.159948;0.000000;false;HOMEOSTASIS
