time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 18:43;4162.333;376;-0.164365;0.459001;0.002795;0.009070;0.000000;false;HOMEOSTASIS
2026.06.11 18:44;4164.656;378;-0.226002;0.443739;0.005453;0.017729;0.000000;false;HOMEOSTASIS
2026.06.11 18:45;4165.525;412;-0.239513;0.440406;0.008050;0.026219;0.000000;false;HOMEOSTASIS
2026.06.11 18:46;4165.514;347;-0.250838;0.437617;0.010590;0.034552;0.000000;false;HOMEOSTASIS
2026.06.11 18:47;4167.789;298;-0.268129;0.433366;0.013064;0.042700;0.000000;false;HOMEOSTASIS
2026.06.11 18:48;4170.197;405;-0.282231;0.429907;0.015480;0.050683;0.000000;false;HOMEOSTASIS
2026.06.11 18:49;4167.892;516;-0.270883;0.432690;0.017875;0.058625;0.000000;false;HOMEOSTASIS
2026.06.11 18:50;4168.197;413;-0.262180;0.434828;0.020248;0.066513;0.000000;false;HOMEOSTASIS
2026.06.11 18:51;4167.250;359;-0.250717;0.437647;0.022601;0.074363;0.000000;false;HOMEOSTASIS
2026.06.11 18:52;4166.636;286;-0.276535;0.431304;0.024879;0.081993;0.000000;false;HOMEOSTASIS
2026.06.11 18:53;4166.471;283;-0.261497;0.434996;0.027146;0.089605;0.000000;false;HOMEOSTASIS
2026.06.11 18:54;4164.893;226;-0.254790;0.436645;0.029389;0.097158;0.000000;false;HOMEOSTASIS
2026.06.11 18:55;4162.131;305;-0.235793;0.441323;0.031626;0.104712;0.000000;false;HOMEOSTASIS
2026.06.11 18:56;4161.381;366;-0.121518;0.469658;0.034003;0.112736;0.000000;false;HOMEOSTASIS
2026.06.11 18:57;4162.731;261;-0.148896;0.462845;0.036302;0.120529;0.000000;false;HOMEOSTASIS
2026.06.11 18:58;4162.620;284;-0.213282;0.446881;0.038470;0.127913;0.000000;false;HOMEOSTASIS
2026.06.11 18:59;4161.851;272;-0.190033;0.452634;0.040641;0.135322;0.000000;false;HOMEOSTASIS
2026.06.11 19:00;4171.666;763;-0.272839;0.432210;0.042655;0.142239;0.000000;false;HOMEOSTASIS
2026.06.11 19:01;4170.111;602;-0.242790;0.439599;0.044684;0.149219;0.000000;false;HOMEOSTASIS
2026.06.11 19:02;4172.412;420;-0.246795;0.438612;0.046678;0.156095;0.000000;false;HOMEOSTASIS
2026.06.11 19:03;4171.042;403;-0.222707;0.444552;0.048678;0.163006;0.000000;false;HOMEOSTASIS
2026.06.11 19:04;4174.230;406;-0.229841;0.442791;0.050639;0.169800;0.000000;false;HOMEOSTASIS
2026.06.11 19:05;4169.896;476;-0.134217;0.466496;0.052715;0.176980;0.000000;false;HOMEOSTASIS
2026.06.11 19:06;4171.374;582;-0.175247;0.456300;0.054699;0.183873;0.000000;false;HOMEOSTASIS
2026.06.11 19:07;4171.896;457;-0.114359;0.471441;0.056746;0.190982;0.000000;false;HOMEOSTASIS
2026.06.11 19:08;4171.432;349;0.332422;0.582349;0.059711;0.200197;0.349409;false;HOMEOSTASIS
2026.06.11 19:09;4173.894;488;-0.184795;0.453932;0.061837;0.206765;0.337180;false;HOMEOSTASIS
2026.06.11 19:10;4175.405;402;-0.208089;0.448165;0.063884;0.213139;0.325379;false;HOMEOSTASIS
2026.06.11 19:11;4180.861;508;-0.259363;0.435520;0.065811;0.219187;0.313990;false;HOMEOSTASIS
2026.06.11 19:12;4183.255;1483;-0.263243;0.434567;0.067694;0.225144;0.303001;false;HOMEOSTASIS
2026.06.11 19:13;4184.343;710;-0.265008;0.434133;0.069536;0.231021;0.292396;false;HOMEOSTASIS
2026.06.11 19:14;4188.049;761;-0.275278;0.431612;0.071325;0.236777;0.282162;false;HOMEOSTASIS
2026.06.11 19:15;4188.192;601;-0.279154;0.430661;0.073072;0.242446;0.272286;false;HOMEOSTASIS
2026.06.11 19:16;4193.661;598;-0.286203;0.428934;0.074775;0.248012;0.262756;false;HOMEOSTASIS
2026.06.11 19:17;4188.533;902;-0.275312;0.431604;0.076460;0.253565;0.253560;false;HOMEOSTASIS
2026.06.11 19:18;4190.756;549;-0.278041;0.430934;0.078108;0.259037;0.244685;false;HOMEOSTASIS
2026.06.11 19:19;4195.537;514;-0.284091;0.429451;0.079716;0.264415;0.236121;false;HOMEOSTASIS
2026.06.11 19:20;4192.609;810;-0.262386;0.434777;0.081325;0.269833;0.227857;false;HOMEOSTASIS
2026.06.11 19:21;4191.399;519;-0.263855;0.434416;0.082902;0.275179;0.219882;false;HOMEOSTASIS
2026.06.11 19:22;4190.669;573;-0.253975;0.436845;0.084463;0.280509;0.212186;false;HOMEOSTASIS
2026.06.11 19:23;4189.025;558;-0.252351;0.437245;0.085999;0.285783;0.204759;false;HOMEOSTASIS
2026.06.11 19:24;4191.534;393;-0.250026;0.437817;0.087509;0.291005;0.197593;false;HOMEOSTASIS
2026.06.11 19:25;4190.864;425;-0.262692;0.434702;0.088973;0.296102;0.190677;false;HOMEOSTASIS
2026.06.11 19:26;4194.246;510;-0.267844;0.433437;0.090403;0.301114;0.184003;false;HOMEOSTASIS
2026.06.11 19:27;4194.510;530;-0.266934;0.433660;0.091809;0.306069;0.177563;false;HOMEOSTASIS
2026.06.11 19:28;4197.023;452;-0.272658;0.432255;0.093181;0.310938;0.171349;false;HOMEOSTASIS
2026.06.11 19:29;4195.518;465;-0.263763;0.434439;0.094542;0.315791;0.165351;false;HOMEOSTASIS
2026.06.11 19:30;4208.387;1481;-0.278872;0.430730;0.095857;0.320513;0.159564;false;HOMEOSTASIS
2026.06.11 19:31;4204.094;1328;-0.257893;0.435882;0.097181;0.325280;0.153979;false;HOMEOSTASIS
2026.06.11 19:32;4207.136;906;-0.260833;0.435159;0.098477;0.329975;0.148590;false;HOMEOSTASIS
2026.06.11 19:33;4207.992;742;-0.258461;0.435742;0.099755;0.334626;0.143389;false;HOMEOSTASIS
2026.06.11 19:34;4214.998;876;-0.259562;0.435471;0.101009;0.339215;0.138371;false;HOMEOSTASIS
2026.06.11 19:35;4212.411;762;-0.246243;0.438748;0.102263;0.343814;0.133528;false;HOMEOSTASIS
2026.06.11 19:36;4217.640;936;-0.232438;0.442151;0.103516;0.348425;0.128854;false;HOMEOSTASIS
2026.06.11 19:37;4214.528;788;-0.236000;0.441272;0.104744;0.352964;0.124344;false;HOMEOSTASIS
2026.06.11 19:38;4211.210;597;-0.217055;0.445948;0.105980;0.357540;0.119992;false;HOMEOSTASIS
2026.06.11 19:39;4208.574;470;-0.166144;0.458559;0.107272;0.362311;0.115793;false;HOMEOSTASIS
2026.06.11 19:40;4211.343;546;-0.195725;0.451224;0.108500;0.366879;0.111740;false;HOMEOSTASIS
2026.06.11 19:41;4214.024;515;-0.207595;0.448287;0.109690;0.371335;0.107829;false;HOMEOSTASIS
2026.06.11 19:42;4215.059;517;-0.211794;0.447248;0.110854;0.375717;0.104055;false;HOMEOSTASIS
2026.06.11 19:43;4211.777;430;-0.208022;0.448181;0.112006;0.380064;0.100413;false;HOMEOSTASIS
2026.06.11 19:44;4210.398;592;-0.194435;0.451544;0.113161;0.384426;0.096899;false;HOMEOSTASIS
2026.06.11 19:45;4210.703;626;-0.196904;0.450932;0.114294;0.388723;0.093507;false;HOMEOSTASIS
2026.06.11 19:46;4210.560;520;-0.181468;0.454757;0.115433;0.393044;0.090234;false;HOMEOSTASIS
2026.06.11 19:47;4213.321;467;-0.193222;0.451844;0.116536;0.397256;0.087076;false;HOMEOSTASIS
2026.06.11 19:48;4212.182;385;-0.175548;0.456225;0.117650;0.401504;0.084029;false;HOMEOSTASIS
2026.06.11 19:49;4210.224;322;-0.173596;0.456710;0.118750;0.405711;0.081088;false;HOMEOSTASIS
2026.06.11 19:50;4210.521;639;0.340978;0.584428;0.120886;0.412391;0.431744;false;HOMEOSTASIS
2026.06.11 19:51;4212.558;387;-0.129425;0.467689;0.122266;0.416683;0.416633;false;HOMEOSTASIS
2026.06.11 19:52;4212.472;448;-0.054846;0.486292;0.123725;0.421292;0.402051;false;HOMEOSTASIS
2026.06.11 19:53;4214.335;486;-0.093526;0.476635;0.125091;0.425655;0.387979;false;HOMEOSTASIS
2026.06.11 19:54;4215.331;507;2.885168;0.947108;0.129744;0.439262;0.956244;false;HOMEOSTASIS
2026.06.11 19:55;4212.438;654;9.693045;0.999938;0.135107;0.453750;1.556207;false;HOMEOSTASIS
2026.06.11 19:56;4212.079;215;-0.115268;0.471215;0.137111;0.457616;1.501740;false;HOMEOSTASIS
2026.06.11 19:57;4211.844;239;-0.072171;0.481965;0.139098;0.461648;1.449179;false;HOMEOSTASIS
2026.06.11 19:58;4208.072;356;-0.086227;0.478457;0.140981;0.465563;1.398458;false;HOMEOSTASIS
2026.06.11 19:59;4208.966;464;0.418664;0.603163;0.143867;0.471894;1.760356;false;HOMEOSTASIS
2026.06.11 20:00;4211.893;544;0.247381;0.561532;0.146704;0.477328;2.097275;false;HOMEOSTASIS
2026.06.11 20:01;4216.008;346;-0.055751;0.486066;0.148964;0.481204;2.023870;false;HOMEOSTASIS
2026.06.11 20:02;4213.217;423;-0.049059;0.487738;0.151127;0.485068;1.953035;false;HOMEOSTASIS
2026.06.11 20:03;4210.214;273;-0.031190;0.492203;0.153217;0.488973;1.884679;false;HOMEOSTASIS
2026.06.11 20:04;4208.511;251;-0.060476;0.484886;0.155166;0.492686;1.818715;false;HOMEOSTASIS
2026.06.11 20:05;4209.199;225;-0.039840;0.490041;0.157054;0.496457;1.755060;false;HOMEOSTASIS
2026.06.11 20:06;4211.905;228;-0.030699;0.492326;0.158868;0.500228;1.693633;false;HOMEOSTASIS
2026.06.11 20:07;4210.405;231;-0.110333;0.472445;0.160478;0.503561;1.634356;false;HOMEOSTASIS
2026.06.11 20:08;4214.774;240;-0.104171;0.473981;0.162019;0.506884;1.577153;false;HOMEOSTASIS
2026.06.11 20:09;4214.637;178;-0.134406;0.466449;0.163439;0.510019;1.521953;false;HOMEOSTASIS
2026.06.11 20:10;4212.537;177;-0.092160;0.476976;0.164853;0.513323;1.468684;false;HOMEOSTASIS
2026.06.11 20:11;4214.397;149;-0.087939;0.478029;0.166206;0.516609;1.417281;false;HOMEOSTASIS
2026.06.11 20:12;4218.346;252;-0.149405;0.462718;0.167401;0.519553;1.367676;false;HOMEOSTASIS
2026.06.11 20:13;4215.132;242;0.012920;0.503230;0.168782;0.523263;1.319807;false;HOMEOSTASIS
2026.06.11 20:14;4213.907;169;-0.077468;0.480643;0.169965;0.526481;1.273614;false;HOMEOSTASIS
2026.06.11 20:15;4214.393;110;-0.111010;0.472276;0.171041;0.529495;1.229037;false;HOMEOSTASIS
