time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 18:43;63475.41;65;-0.254768;0.436650;0.002659;0.008628;0.000000;false;HOMEOSTASIS
2026.06.11 18:44;63471.75;34;-0.251807;0.437379;0.005280;0.017167;0.000000;false;HOMEOSTASIS
2026.06.11 18:45;63470.04;63;-0.234210;0.441714;0.007888;0.025690;0.000000;false;HOMEOSTASIS
2026.06.11 18:46;63452.31;44;-0.216461;0.446095;0.010482;0.034196;0.000000;false;HOMEOSTASIS
2026.06.11 18:47;63504.17;48;-0.253835;0.436880;0.012979;0.042418;0.000000;false;HOMEOSTASIS
2026.06.11 18:48;63460.25;55;-0.248565;0.438177;0.015447;0.050568;0.000000;false;HOMEOSTASIS
2026.06.11 18:49;63449.21;63;-0.246670;0.438643;0.017879;0.058629;0.000000;false;HOMEOSTASIS
2026.06.11 18:50;63444.21;45;-0.183936;0.454145;0.020369;0.066899;0.000000;false;HOMEOSTASIS
2026.06.11 18:51;63409.17;57;-0.164740;0.458908;0.022849;0.075164;0.000000;false;HOMEOSTASIS
2026.06.11 18:52;63475.64;64;-0.257376;0.436009;0.025153;0.082878;0.000000;false;HOMEOSTASIS
2026.06.11 18:53;63478.31;63;-0.238359;0.440691;0.027450;0.090591;0.000000;false;HOMEOSTASIS
2026.06.11 18:54;63442.04;30;-0.232445;0.442149;0.029721;0.098241;0.000000;false;HOMEOSTASIS
2026.06.11 18:55;63425.10;47;-0.178180;0.455572;0.032040;0.106064;0.000000;false;HOMEOSTASIS
2026.06.11 18:56;63463.74;94;0.195913;0.548822;0.035149;0.115636;0.329293;false;HOMEOSTASIS
2026.06.11 18:57;63464.75;23;-0.121263;0.469721;0.037717;0.123530;0.317768;false;HOMEOSTASIS
2026.06.11 18:58;63434.77;37;0.158321;0.539498;0.040920;0.132708;0.641467;false;HOMEOSTASIS
2026.06.11 18:59;63388.94;34;-0.224593;0.444087;0.043469;0.139891;0.619015;false;HOMEOSTASIS
2026.06.11 19:00;63406.69;94;-0.161837;0.459629;0.046052;0.147295;0.597350;false;HOMEOSTASIS
2026.06.11 19:01;63455.46;88;-0.061530;0.484622;0.048726;0.155103;0.576443;false;HOMEOSTASIS
2026.06.11 19:02;63490.11;80;-0.217817;0.445760;0.051101;0.162050;0.556267;false;HOMEOSTASIS
2026.06.11 19:03;63442.93;60;-0.142405;0.464459;0.053536;0.169283;0.536798;false;HOMEOSTASIS
2026.06.11 19:04;63430.95;55;-0.171347;0.457268;0.055870;0.176288;0.518010;false;HOMEOSTASIS
2026.06.11 19:05;63420.72;83;-0.192201;0.452097;0.058121;0.183106;0.499880;false;HOMEOSTASIS
2026.06.11 19:06;63410.07;59;-0.172901;0.456882;0.060349;0.189936;0.482384;false;HOMEOSTASIS
2026.06.11 19:07;63405.38;49;-0.247195;0.438514;0.062417;0.196322;0.465500;false;HOMEOSTASIS
2026.06.11 19:08;63355.55;88;-0.248854;0.438106;0.064435;0.202623;0.449208;false;HOMEOSTASIS
2026.06.11 19:09;63347.81;74;-0.246903;0.438586;0.066411;0.208858;0.433486;false;HOMEOSTASIS
2026.06.11 19:10;63384.34;49;-0.208313;0.448109;0.068402;0.215206;0.418314;false;HOMEOSTASIS
2026.06.11 19:11;63397.35;83;0.185333;0.546201;0.071215;0.223417;0.746034;false;HOMEOSTASIS
2026.06.11 19:12;63464.46;134;0.237461;0.559088;0.074319;0.231783;1.081487;false;HOMEOSTASIS
2026.06.11 19:13;63456.47;164;-0.012913;0.496772;0.076959;0.238818;1.043635;false;HOMEOSTASIS
2026.06.11 19:14;63459.56;72;0.069591;0.517391;0.079648;0.246176;1.007108;false;HOMEOSTASIS
2026.06.11 19:15;63511.92;93;-0.239903;0.440310;0.081792;0.251923;0.971859;false;HOMEOSTASIS
2026.06.11 19:16;63536.08;58;-0.226574;0.443598;0.083891;0.257665;0.937844;false;HOMEOSTASIS
2026.06.11 19:17;63584.17;101;-0.261312;0.435041;0.085875;0.263169;0.905019;false;HOMEOSTASIS
2026.06.11 19:18;63594.02;76;-0.275506;0.431556;0.087778;0.268539;0.873344;false;HOMEOSTASIS
2026.06.11 19:19;63559.46;78;-0.277518;0.431062;0.089620;0.273834;0.842777;false;HOMEOSTASIS
2026.06.11 19:20;63576.87;107;-0.277231;0.431133;0.091409;0.279067;0.813279;false;HOMEOSTASIS
2026.06.11 19:21;63573.62;59;-0.258841;0.435649;0.093172;0.284327;0.784815;false;HOMEOSTASIS
2026.06.11 19:22;63595.26;56;-0.252426;0.437226;0.094894;0.289555;0.757346;false;HOMEOSTASIS
2026.06.11 19:23;63623.13;61;-0.282018;0.429959;0.096522;0.294576;0.730839;false;HOMEOSTASIS
2026.06.11 19:24;63619.26;85;-0.283155;0.429681;0.098103;0.299532;0.705260;false;HOMEOSTASIS
2026.06.11 19:25;63603.31;80;-0.282110;0.429937;0.099640;0.304433;0.680576;false;HOMEOSTASIS
2026.06.11 19:26;63609.81;79;-0.285283;0.429159;0.101130;0.309260;0.656755;false;HOMEOSTASIS
2026.06.11 19:27;63548.88;83;-0.269392;0.433056;0.102602;0.314106;0.633769;false;HOMEOSTASIS
2026.06.11 19:28;63555.03;67;-0.285219;0.429175;0.104011;0.318817;0.611587;false;HOMEOSTASIS
2026.06.11 19:29;63531.42;50;-0.282438;0.429856;0.105386;0.323485;0.590182;false;HOMEOSTASIS
2026.06.11 19:30;63828.59;350;-0.303198;0.424776;0.106693;0.327997;0.569525;false;HOMEOSTASIS
2026.06.11 19:31;63740.37;192;-0.295198;0.426732;0.107977;0.332493;0.549592;false;HOMEOSTASIS
2026.06.11 19:32;63796.44;127;-0.287856;0.428529;0.109239;0.336971;0.530356;false;HOMEOSTASIS
2026.06.11 19:33;63820.49;130;-0.289761;0.428062;0.110466;0.341386;0.511794;false;HOMEOSTASIS
2026.06.11 19:34;63664.63;176;-0.266806;0.433691;0.111696;0.345859;0.493881;false;HOMEOSTASIS
2026.06.11 19:35;63702.23;92;-0.262727;0.434693;0.112901;0.350298;0.476595;false;HOMEOSTASIS
2026.06.11 19:36;63688.41;95;-0.248706;0.438142;0.114098;0.354752;0.459914;false;HOMEOSTASIS
2026.06.11 19:37;63730.28;78;-0.246692;0.438638;0.115269;0.359163;0.443817;false;HOMEOSTASIS
2026.06.11 19:38;63666.95;98;-0.178222;0.455562;0.116516;0.363855;0.428284;false;HOMEOSTASIS
2026.06.11 19:39;63605.77;72;-0.101848;0.474560;0.117850;0.368866;0.413294;false;HOMEOSTASIS
2026.06.11 19:40;63676.80;69;-0.219595;0.445321;0.118977;0.373239;0.398828;false;HOMEOSTASIS
2026.06.11 19:41;63718.29;95;-0.248984;0.438074;0.120035;0.377416;0.384869;false;HOMEOSTASIS
2026.06.11 19:42;63727.79;60;-0.242677;0.439627;0.121078;0.381574;0.371399;false;HOMEOSTASIS
2026.06.11 19:43;63691.11;58;-0.172251;0.457043;0.122205;0.386027;0.358400;false;HOMEOSTASIS
2026.06.11 19:44;63629.56;74;0.633944;0.653383;0.124819;0.394305;0.750430;false;HOMEOSTASIS
2026.06.11 19:45;63627.88;74;0.074705;0.518668;0.126550;0.399822;0.724165;false;HOMEOSTASIS
2026.06.11 19:46;63583.07;90;0.042710;0.510676;0.128186;0.405116;0.698819;false;HOMEOSTASIS
2026.06.11 19:47;63652.89;86;-0.230092;0.442729;0.129363;0.409003;0.674360;false;HOMEOSTASIS
2026.06.11 19:48;63645.75;61;-0.215873;0.446240;0.130526;0.412912;0.650758;false;HOMEOSTASIS
2026.06.11 19:49;63609.76;66;-0.198238;0.450602;0.131679;0.416861;0.627981;false;HOMEOSTASIS
2026.06.11 19:50;63590.51;119;-0.287127;0.428707;0.132665;0.420330;0.606002;false;HOMEOSTASIS
2026.06.11 19:51;63637.62;44;-0.243921;0.439320;0.133685;0.423967;0.584792;false;HOMEOSTASIS
2026.06.11 19:52;63611.17;57;-0.278493;0.430823;0.134623;0.427393;0.564324;false;HOMEOSTASIS
2026.06.11 19:53;63626.80;64;-0.270158;0.432868;0.135545;0.430817;0.544573;false;HOMEOSTASIS
2026.06.11 19:54;63644.19;57;0.047774;0.511941;0.136921;0.435763;0.525513;false;HOMEOSTASIS
2026.06.11 19:55;63598.53;85;-0.231342;0.442421;0.137840;0.439277;0.507120;false;HOMEOSTASIS
2026.06.11 19:56;63596.47;22;-0.226233;0.443682;0.138741;0.442772;0.489371;false;HOMEOSTASIS
2026.06.11 19:57;63608.36;45;-0.244312;0.439224;0.139590;0.446138;0.472243;false;HOMEOSTASIS
2026.06.11 19:58;63583.54;33;-0.215958;0.446219;0.140459;0.449602;0.455714;false;HOMEOSTASIS
2026.06.11 19:59;63540.41;135;-0.189872;0.452674;0.141343;0.453151;0.439764;false;HOMEOSTASIS
2026.06.11 20:00;63494.63;104;-0.252575;0.437190;0.142111;0.456352;0.424372;false;HOMEOSTASIS
